Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP,PEP
Date,,,,,,
2023-01-05,158.9854278564453,177.10000610351562,178.77000427246094,176.86000061035156,177.9600067138672,3647100
2023-01-06,162.5762939453125,181.10000610351562,181.8300018310547,178.8000030517578,178.80999755859375,3713200
2023-01-09,160.9873504638672,179.3300018310547,182.77000427246094,178.80999755859375,180.44000244140625,3319200
2023-01-10,159.6587371826172,177.85000610351562,179.52999877929688,177.08999633789062,178.7899932861328,3817300
2023-01-11,159.8382568359375,178.0500030517578,179.7100067138672,175.67999267578125,179.38999938964844,4369900
2023-01-12,157.80044555664062,175.77999877929688,178.3699951171875,175.32000732421875,177.66000366210938,4246600
2023-01-13,157.315673828125,175.24000549316406,175.72999572753906,174.1699981689453,175.39999389648438,4720400
2023-01-17,158.05181884765625,176.05999755859375,177.5500030517578,175.49000549316406,176.14999389648438,5032600
2023-01-18,154.06593322753906,171.6199951171875,175.74000549316406,171.3300018310547,175.24000549316406,5032600
2023-01-19,152.27952575683594,169.6300048828125,172.1699981689453,169.47999572753906,171.27999877929688,4720400
2023-01-20,152.50393676757812,169.8800048828125,169.88999938964844,167.4600067138672,168.9499969482422,5779100
2023-01-23,151.8216552734375,169.1199951171875,170.75999450683594,168.72000122070312,170.00999450683594,5440400
2023-01-24,153.23106384277344,170.69000244140625,170.8699951171875,168.4499969482422,169.61000061035156,4125600
2023-01-25,154.34420776367188,171.92999267578125,171.97999572753906,169.33999633789062,170.33999633789062,3852800
2023-01-26,152.80914306640625,170.22000122070312,171.6699981689453,170.0399932861328,171.63999938964844,4558400
2023-01-27,152.27053833007812,169.6199951171875,170.22999572753906,168.5800018310547,169.77000427246094,5451400
2023-01-30,152.1448516845703,169.47999572753906,171.4600067138672,169.13999938964844,169.77999877929688,5191500
2023-01-31,153.52732849121094,171.02000427246094,171.07000732421875,169.32000732421875,170.1999969482422,4665500
2023-02-01,154.01211547851562,171.55999755859375,172.32000732421875,169.50999450683594,170.8800048828125,4147700
2023-02-02,152.58473205566406,169.97000122070312,170.55999755859375,168.50999450683594,169.4600067138672,5653800
2023-02-03,151.8216552734375,169.1199951171875,171.2899932861328,167.0500030517578,170.9600067138672,5308200
2023-02-06,154.24549865722656,171.82000732421875,172.3800048828125,169.58999633789062,169.74000549316406,5640000
2023-02-07,154.01211547851562,171.55999755859375,172.02999877929688,169.25999450683594,170.2899932861328,6044700
2023-02-08,153.65298461914062,171.16000366210938,171.3300018310547,170.24000549316406,171.0,5687300
2023-02-09,155.10731506347656,172.77999877929688,176.49000549316406,172.0399932861328,175.32000732421875,9619400
2023-02-10,158.17750549316406,176.1999969482422,176.58999633789062,172.64999389648438,173.1199951171875,6176000
2023-02-13,159.5869140625,177.77000427246094,178.22999572753906,176.0399932861328,176.25999450683594,5205100
2023-02-14,157.79147338867188,175.77000427246094,177.25,174.7899932861328,177.10000610351562,5203000
2023-02-15,158.0069122314453,176.00999450683594,176.0500030517578,174.58999633789062,175.0,4125500
2023-02-16,157.55807495117188,175.50999450683594,176.89999389648438,174.5399932861328,174.74000549316406,4973200
2023-02-17,158.24928283691406,176.27999877929688,176.4199981689453,174.8300018310547,175.16000366210938,3952100
2023-02-21,158.15953063964844,176.17999267578125,177.41000366210938,174.6699981689453,175.5800018310547,5797300
2023-02-22,158.10565185546875,176.1199951171875,177.42999267578125,175.77000427246094,176.72000122070312,5299500
2023-02-23,158.27622985839844,176.30999755859375,176.99000549316406,174.99000549316406,176.66000366210938,3801400
2023-02-24,157.9620361328125,175.9600067138672,176.3300018310547,174.2899932861328,175.4600067138672,2959100
2023-02-27,157.9171905517578,175.91000366210938,177.25,175.64999389648438,176.97000122070312,3208500
2023-02-28,155.78057861328125,173.52999877929688,175.05999755859375,173.1999969482422,174.8800048828125,4317100
